account_number,acct_name,cusip,asset_name,shares,market_value,
337133659,Lazard Intl Select w Em,31502A105,FERGUSON SPON ADR REP 0.1 ORD,528,3812,
337133659,Lazard Intl Select w Em,35804M105,FRESENIUS SPONSORED ADR,135,2629,
337133659,Lazard Intl Select w Em,45104G104,ICICI BANK ADR REP 2 ORD,394,4023,
337133659,Lazard Intl Select w Em,485537302,KAO ADR,36,2599,
337133659,Lazard Intl Select w Em,485785109,KASIKORNBANK ADR REP 4 ORD,83,2392,
337133659,Lazard Intl Select w Em,48667L106,KDDI ADR REP 0.5 ORD,218,2656,
337133659,Lazard Intl Select w Em,49989A109,KOC HOLDINGS ADR,78,1832,
337133659,Lazard Intl Select w Em,560877300,MAKITA ADR REP 1 ORD,142,6553,
337133659,Lazard Intl Select w Em,G5960L103,MEDTRONIC ORD,75,6018,
337133659,Lazard Intl Select w Em,59410T106,MICHELIN COMPAGNIE GEN ADR,132,4072,
337133659,Lazard Intl Select w Em,62476L207,MR PRICE GROUP ADR,177,4067,
337133659,Lazard Intl Select w Em,65557A206,NORDEA BANK ADR,240,2794,
337133659,Lazard Intl Select w Em,66987V109,NOVARTIS ADR REPSG 1 ORD,74,6217,
337133659,Lazard Intl Select w Em,72341E304,PING AN INSURANCE GROUP COMPANY ADR,107,2221,
337133659,Lazard Intl Select w Em,74435K204,PRUDENTIAL ADR REPSTG 2 ORD,173,8629,
337133659,Lazard Intl Select w Em,715684106,PT TLKMNK TBK ADR REP 100 SRS B ORD,126,3686,
337133659,Lazard Intl Select w Em,756568101,RED ELECTRICA CORPORACION ADR,326,3239,
337133659,Lazard Intl Select w Em,783513203,RYANAIR HOLDINGS PUBLIC LIMITED COMPANY,35,4060,
337133659,Lazard Intl Select w Em,78392U105,RYOHIN KEIKKU UNSPN ADR REP 0.20 ORD,101,6343,
337133659,Lazard Intl Select w Em,786584102,SAFRAN ADR REP 0.25 ORD,114,2956,
337133659,Lazard Intl Select w Em,79588J102,SAMPO ADR REP 1/2 CL A ORD,211,5992,
337133659,Lazard Intl Select w Em,20441A102,SANEAMEN SAO PAU ADR REP 1 ORD,235,2470,
337133659,Lazard Intl Select w Em,80104Q208,SANLAM ADR REP 2 ORD,265,3988,
337133659,Lazard Intl Select w Em,803054204,SAP ADR REP 1 ORD,65,6679,
337133659,Lazard Intl Select w Em,82481R106,SHIRE ADS REP 3 ORD,36,4762,
337133659,Lazard Intl Select w Em,835699307,SONY ADR REP 1 ORD,50,2414,
337133659,Lazard Intl Select w Em,85771P102,STATOIL ADR REP 1 ORD,195,4276,
337133659,Lazard Intl Select w Em,86562M209,SUMITOMO MIT ADR REP 1/5TH OF ORD,594,5287,
337133659,Lazard Intl Select w Em,867224107,SUNCOR ENERGY ORD,120,4004,
337133659,Lazard Intl Select w Em,874039100,TAIWAN SEMICONDUCTOR MNFTG ADR 5 ORD,216,9186,
337133659,Lazard Intl Select w Em,87944W105,TELENOR ASA ADR,155,3416,
337133659,Lazard Intl Select w Em,88032Q109,TENCENT HOLDINGS ADR REP 1 CL B ORD,142,7604,
337133659,Lazard Intl Select w Em,889110102,TOKYO ELECTRON ADR REP 2 ORD,92,3993,
337133659,Lazard Intl Select w Em,900111204,TURKCELL ILETISIM ADR REP 2.5 ORD,501,5070,
337133659,Lazard Intl Select w Em,904767704,UNILEVER ADR REP 1 ORD,110,5871,
337133659,Lazard Intl Select w Em,919134304,VALEO ADR REP 1/2 ORD,146,5272,
337133659,Lazard Intl Select w Em,927320101,VINCI ADR,214,5269,
337133659,Lazard Intl Select w Em,977874205,WOLTERS KLUWER ADR,109,5321,
337133659,Lazard Intl Select w Em,N97284108,YANDEX CL A ORD,102,3723,
337133662,IQ Multi-Strat Hedge Fund,06746L422,BRCL BK IPTH S&P 500 VIX SH FTRS ETN,62,2973,
337133662,IQ Multi-Strat Hedge Fund,23130C108,GUGGENHEIM CURRENCYSHARES EURO ETF,12,1419,
337133662,IQ Multi-Strat Hedge Fund,464287184,ISHARES CHINA LARGE CAP ETF,73,3408,
337133662,IQ Multi-Strat Hedge Fund,46429B655,ISHARES FLOATING RATE BOND ETF,66,3365,
337133662,IQ Multi-Strat Hedge Fund,464287242,ISHARES IBOXX INVT GRADE BOND ETF,256,30008,
337133662,IQ Multi-Strat Hedge Fund,464288281,ISHARES JPMORGAN USD MTS BOND ETF,48,5378,
337133662,IQ Multi-Strat Hedge Fund,464288588,ISHARES MBS ETF,24,2503,
337133662,IQ Multi-Strat Hedge Fund,464288182,ISHARES MSCI ALL COUNT ASA EX JP ETF,18,1356,
337133662,IQ Multi-Strat Hedge Fund,46429B671,ISHARES MSCI CHINA ETF,43,2881,
337133662,IQ Multi-Strat Hedge Fund,464288273,ISHARES MSCI EAFE SMALL CAP ETF,135,8636,
337133662,IQ Multi-Strat Hedge Fund,464286665,ISHARES MSCI PACIFIC EX JAPAN ETF,18,836,
337133662,IQ Multi-Strat Hedge Fund,464287614,ISHARES RUSSELL 1000 GROWTH ETF,61,8290,
337133662,IQ Multi-Strat Hedge Fund,464287648,ISHARES RUSSELL 2000 GROWTH ETF,13,2384,
337133662,IQ Multi-Strat Hedge Fund,464287309,ISHARES S&P 500 GROWTH ETF,25,3866,
337133662,IQ Multi-Strat Hedge Fund,464288679,ISHARES SHORT TREASURY BOND ETF,164,18081,
337133662,IQ Multi-Strat Hedge Fund,46428Q109,ISHARES SILVER TRUST ETF,17,265,
